Codice Progetto;Stato;Priorità;Azienda Assegnataria;Nome;Creato il;Aggiornato il;Capo Progetto
S26924;Attivo;Alta;BAIT Service S.r.l.;BAIT - SICUREZZA - Aggiornamento Firewall Zyxel Clienti;26/09/2024 00:00;23/06/2025 10:59;Marco Birocchi
S25-536;Attivo;Alta;FGB STUDIO;FGB STUDIO - Analisi per la realizzazione piattaforma web;13/06/2025 00:00;23/06/2025 11:00;Giuseppe Anastasio
P25-328;Attivo;Media;EVA ODV;Eva Odv configurazione Licenza Teams + attività eliminazione nome tra i contatti del sito web;07/04/2025 00:00;23/06/2025 11:03;Roberto Birocchi
P25-444;Attivo;Alta;COMUNE DI LENTATE SUL SEVESO;Comune di Lentate - sostituzione 2 Host con 1 Host nuovo;21/05/2025 00:00;23/06/2025 11:03;Matteo Signo
S25-362;Attivo;Media;SILANOS SRL;Silanos configurazione e installazione 7 Kaspersky Industrial CyberSecurity for Nodes -;28/04/2025 00:00;23/06/2025 11:03;Giuseppe Anastasio
S25-1433;Attivo;Alta;ELECTRALINE 3PMARK SPA;Electraline 3P Mark - installazione 6 Kaspersky MDR;03/06/2025 00:00;23/06/2025 11:03;Roberto Birocchi
S25-493;Attivo;Media;ELECTRALINE CBB;Electraline CBB - Installazione 8 licenze Kaspersky powered by A&B Consulting srl;04/06/2025 00:00;26/06/2025 09:40;Roberto Birocchi
P25-426;Attivo;Media;WITTMANN BATTENFELD ITALIA S.r.l.;Wittmann - Nuovo Server HPE - Scad. 15/06;19/05/2025 00:00;26/06/2025 09:51;Matteo Signo
A25-016;Attivo;Alta;ISOTERMA SRL;Isoterma Offerta Mailstore;14/02/2025 00:00;26/06/2025 10:04;Roberto Birocchi
A25-017;Attivo;Media;ISOTERMA SRL;ISOTERMA - Gestione Dominio Cloud con InTune e Implementazione GPO Scad. 31/03/2025;14/02/2025 00:00;26/06/2025 10:04;Marco Birocchi
A25-019;Attivo;Alta;BAIT Service S.r.l.;BAIT - Progetto CRM - Scadenza 15/03/2025;27/02/2025 00:00;26/06/2025 10:04;Giuseppe Anastasio
A25-026;Attivo;Alta;MAX MODA SPA;MAXMODA - Migrazione Database Power BI da MAXSRV11 a MAXSRV-04;20/05/2025 00:00;26/06/2025 10:04;Marco Birocchi
A25-015;Attivo;Alta;ISOTERMA SRL;ISOTERMA - Migrazione dati da Dropbox a SharePoint;15/10/2024 00:00;26/06/2025 10:04;Matteo Signo
A25-027;Attivo;Alta;MAX MODA SPA;MAXMODA - Progetto Tecnico per Documentazione Infrastruttura Cliente;29/05/2025 00:00;26/06/2025 10:06;Matteo Signo
A25-028;Attivo;Media;ELECTRALINE 3PMARK SPA;ELECTRALINE - Progetto Tecnico per Documentazione Infrastruttura Cliente;29/05/2025 00:00;26/06/2025 10:06;Franco Fiorellino
A25-029;Attivo;Media;BAIT Service S.r.l.;BAIT SERVICE- Analisi Clienti per Migrazione OS Windows 11;03/06/2025 00:00;26/06/2025 10:06;Marco Birocchi
A25-030;Attivo;Alta;BAIT Service S.r.l.;BAIT Implementazione IA;12/06/2025 00:00;26/06/2025 10:06;Giuseppe Anastasio
A25-031;Attivo;Media;BAIT Service S.r.l.;BAIT - Gestionale licenze;17/06/2025 00:00;26/06/2025 10:06;Giuseppe Anastasio
A25-032;Attivo;Alta;BAIT Service S.r.l.;Rinnovo ambiente sala server;23/06/2025 00:00;26/06/2025 10:06;Franco Fiorellino
P24-305;Attivo;Media;ELECTRALINE 3PMARK SPA;ELECTRALINE 3P MARK - implementazione struttura informatica scad 30 / 04 / 2025;08/04/2024 00:00;26/06/2025 10:08;Marco Birocchi
P24-419;Attivo;Alta;ELECTRALINE CBB;ELECTRALINE CBB - implementazione struttura informatica scad 31/03/2025;08/04/2024 00:00;26/06/2025 10:08;Marco Birocchi
P24-731;Attivo;Alta;ELECTRALINE CBB;ELECTRALINE CBB - Aggiornamento Firewall scad 31/03/2025;08/10/2024 00:00;26/06/2025 10:08;Roberto Birocchi
P25-095;Attivo;Media;TECNINOX S.R.L;TECNINOX - Servizio di cloud computing;27/01/2025 00:00;26/06/2025 10:08;Marco Birocchi
P25-079;Attivo;Alta;BERTOCCO AIR TRUCK TECHNOLOGY SRL;BERTOCCO Nuova infrastruttura Server;31/01/2025 00:00;26/06/2025 10:08;Marco Birocchi
P25-304;Attivo;Media;SILANOS SRL;Silanos Progetto Segmentazione Rete Interna;28/04/2025 00:00;26/06/2025 10:08;Giuseppe Anastasio
S25-1434;Attivo;Alta;ELECTRALINE CBB;Electraline CBB - Installazione 9 licenze Kaspersky MDR;03/06/2025 00:00;26/06/2025 10:09;Roberto Birocchi
P25-318;Attivo;Alta;SILANOS SRL;Silanos Servizio di Cloud Computing;02/04/2025 00:00;26/06/2025 10:09;Marco Birocchi
P25-578;Attivo;Media;GARIBALDINA SRL;Garibaldina installazione PC cassa Saronno;26/06/2025 00:00;26/06/2025 17:52;Roberto Birocchi
